"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 01:47:10 GMT 2024","Thu Mar 14 01:47:11 GMT 2024","328","","","","AddingItemsTests","VerifyCartNumber","VerifyCartNumber",""
"passed","Thu Mar 14 01:46:59 GMT 2024","Thu Mar 14 01:47:03 GMT 2024","4004","","","","CheckoutTests","CancelCheckoutAndVerifyPage","CancelCheckoutAndVerifyPage",""
"passed","Thu Mar 14 01:47:07 GMT 2024","Thu Mar 14 01:47:11 GMT 2024","3608","","","","CheckoutTests","LeaveEmptyFieldsAndVerifyError","LeaveEmptyFieldsAndVerifyError(""Walter"",""White"","""",""Error: Postal Code is required"")",""
"passed","Thu Mar 14 01:47:27 GMT 2024","Thu Mar 14 01:47:27 GMT 2024","738","","","","LoginTests","LoginUnsuccessfully","LoginUnsuccessfully("""",""secret_sauce"",""Epic sadface: Username is required"")",""
"passed","Thu Mar 14 01:47:03 GMT 2024","Thu Mar 14 01:47:03 GMT 2024","707","","","","CheckoutTests","CheckIfTotalPriceIsCorrect","CheckIfTotalPriceIsCorrect",""
"passed","Thu Mar 14 01:47:11 GMT 2024","Thu Mar 14 01:47:14 GMT 2024","3582","","","","CheckoutTests","LeaveEmptyFieldsAndVerifyError","LeaveEmptyFieldsAndVerifyError("""",""White"",""12345"",""Error: First Name is required"")",""
"passed","Thu Mar 14 01:47:06 GMT 2024","Thu Mar 14 01:47:09 GMT 2024","3615","","","","AddingItemsTests","RemoveItemsFromCart","RemoveItemsFromCart",""
"passed","Thu Mar 14 01:47:14 GMT 2024","Thu Mar 14 01:47:18 GMT 2024","3582","","","","CheckoutTests","LeaveEmptyFieldsAndVerifyError","LeaveEmptyFieldsAndVerifyError(""Walter"","""",""12345"",""Error: Last Name is required"")",""
"passed","Thu Mar 14 01:47:10 GMT 2024","Thu Mar 14 01:47:10 GMT 2024","351","","","","AddingItemsTests","SimplyAddToCart","SimplyAddToCart",""
"passed","Thu Mar 14 01:47:13 GMT 2024","Thu Mar 14 01:47:17 GMT 2024","3801","","","","LoginTests","LoginSuccessfully","LoginSuccessfully(""visual_user"")",""
"passed","Thu Mar 14 01:47:29 GMT 2024","Thu Mar 14 01:47:36 GMT 2024","6974","","","","LoginTests","Logout","Logout",""
"passed","Thu Mar 14 01:47:03 GMT 2024","Thu Mar 14 01:47:07 GMT 2024","3751","","","","CheckoutTests","FinishCheckoutSuccessfully","FinishCheckoutSuccessfully",""
"passed","Thu Mar 14 01:47:06 GMT 2024","Thu Mar 14 01:47:09 GMT 2024","3825","","","","LoginTests","LoginSuccessfully","LoginSuccessfully(""problem_user"")",""
"passed","Thu Mar 14 01:46:59 GMT 2024","Thu Mar 14 01:46:59 GMT 2024","686","","","","AddingItemsTests","AddMultipleItems","AddMultipleItems",""
"passed","Thu Mar 14 01:47:28 GMT 2024","Thu Mar 14 01:47:29 GMT 2024","767","","","","LoginTests","LoginUnsuccessfully","LoginUnsuccessfully(""locked_out_user"",""secret_sauce"",""Epic sadface: Sorry, this user has been locked out."")",""
"passed","Thu Mar 14 01:47:02 GMT 2024","Thu Mar 14 01:47:06 GMT 2024","3782","","","","LoginTests","LoginSuccessfully","LoginSuccessfully(""standard_user"")",""
"passed","Thu Mar 14 01:47:09 GMT 2024","Thu Mar 14 01:47:10 GMT 2024","431","","","","AddingItemsTests","RemoveMultipeItemsMainPage","RemoveMultipeItemsMainPage",""
"passed","Thu Mar 14 01:47:09 GMT 2024","Thu Mar 14 01:47:13 GMT 2024","3874","","","","LoginTests","LoginSuccessfully","LoginSuccessfully(""error_user"")",""
"passed","Thu Mar 14 01:47:27 GMT 2024","Thu Mar 14 01:47:28 GMT 2024","739","","","","LoginTests","LoginUnsuccessfully","LoginUnsuccessfully(""standard_user"","""",""Epic sadface: Password is required"")",""
"passed","Thu Mar 14 01:47:26 GMT 2024","Thu Mar 14 01:47:27 GMT 2024","746","","","","LoginTests","LoginUnsuccessfully","LoginUnsuccessfully(""unexisting_user"",""secret_sauce"",""Epic sadface: Username and password do not match any user in this service"")",""
"passed","Thu Mar 14 01:46:48 GMT 2024","Thu Mar 14 01:47:02 GMT 2024","13393","","","","LoginTests","CloseLoginErrorMessage","CloseLoginErrorMessage",""
"passed","Thu Mar 14 01:47:17 GMT 2024","Thu Mar 14 01:47:26 GMT 2024","8779","","","","LoginTests","LoginSuccessfully","LoginSuccessfully(""performance_glitch_user"")",""
"passed","Thu Mar 14 01:46:59 GMT 2024","Thu Mar 14 01:47:06 GMT 2024","6439","","","","AddingItemsTests","ContinueShopping","ContinueShopping",""
